,FileName,xmin,ymin,xmax,ymax
0,1.tif,509,847,938,903
1,2.tif,167,583,254,622
2,3.tif,160,642,396,678
3,4.tif,519,664,680,712
4,5.tif,667,566,815,615
5,6.tif,536,583,847,635
6,7.tif,575,731,825,776
7,8.tif,414,671,755,733
8,9.tif,640,802,854,857
9,10.tif,422,662,740,715
10,11.tif,554,700,740,742
11,12.tif,485,310,716,359
12,13.tif,518,722,729,763
13,14.tif,686,365,774,395
14,15.tif,515,509,661,572
15,16.tif,481,739,831,871
16,17.tif,536,687,653,763
17,18.tif,529,354,783,417
18,18.tif,137,413,356,461
19,19.tif,111,512,356,561
20,20.tif,525,607,779,650
21,21.tif,515,721,820,772
22,22.tif,493,496,742,561
23,23.tif,200,439,395,474
24,24.tif,291,453,495,502
25,24.tif,610,454,814,489
26,25.tif,573,545,813,593
27,26.tif,140,510,455,566
28,27.tif,592,456,848,525
29,28.tif,542,233,663,311
30,29.tif,408,581,672,626
31,30.tif,291,467,574,533
32,30.tif,602,724,875,780
33,31.tif,685,570,801,602
34,31.tif,696,682,876,719
35,31.tif,704,743,934,774
36,32.tif,441,601,717,660
37,33.tif,144,685,370,722
38,34.tif,475,620,913,700
39,35.tif,576,626,769,692
40,36.tif,559,829,749,863
41,37.tif,494,758,826,816
42,38.tif,310,611,499,668
43,38.tif,594,611,833,663
44,39.tif,178,474,464,541
45,40.tif,562,514,820,573
46,41.tif,511,257,783,313
47,42.tif,428,646,660,677
48,43.tif,643,565,821,600
49,44.tif,124,660,227,731
50,44.tif,578,754,891,827
51,45.tif,145,367,452,436
52,46.tif,482,659,875,829
53,47.tif,361,442,542,495
54,47.tif,582,435,853,489
55,48.tif,482,647,792,699
56,49.tif,157,725,474,805
57,50.tif,522,827,649,864
58,51.tif,705,521,889,583
59,52.tif,155,648,326,683
60,53.tif,455,177,654,223
61,53.tif,456,235,658,286
62,53.tif,467,323,773,360
63,54.tif,509,796,853,854
64,54.tif,512,842,796,884
65,55.tif,189,595,294,640
66,56.tif,590,747,767,802
67,57.tif,557,542,783,588
68,58.tif,14,732,465,782
69,59.tif,167,412,311,468
70,60.tif,515,395,835,462
71,61.tif,524,461,763,522
72,62.tif,529,267,811,331
73,62.tif,169,436,405,478
74,62.tif,707,235,775,277
75,64.tif,497,529,710,612
76,65.tif,541,795,761,829
77,65.tif,523,831,698,869
78,65.tif,539,890,838,917
79,66.tif,453,616,627,673
80,67.tif,481,626,762,681
81,68.tif,446,809,797,883
82,69.tif,625,695,776,730
83,70.tif,493,514,662,551
84,70.tif,212,717,434,767
85,71.tif,566,867,798,905
86,72.tif,460,675,781,748
87,73.tif,444,580,759,664
88,74.tif,506,834,876,956
89,75.tif,570,641,839,695
90,76.tif,520,578,799,654
91,77.tif,162,580,407,634
92,78.tif,134,487,455,567
93,78.tif,189,562,440,605
94,78.tif,187,628,437,662
95,78.tif,181,695,417,764
96,78.tif,531,423,675,447
97,78.tif,514,502,845,547
98,78.tif,523,567,787,619
99,78.tif,551,621,705,663
100,79.tif,490,499,740,563
101,80.tif,587,490,832,594
102,81.tif,141,666,470,707
103,82.tif,537,392,773,426
104,83.tif,607,510,794,556
105,84.tif,548,657,687,693
106,85.tif,595,537,794,596
107,86.tif,506,442,819,490
108,86.tif,565,622,646,685
109,86.tif,256,574,367,683
110,87.tif,510,583,758,669
111,88.tif,133,495,403,560
112,89.tif,415,472,694,528
113,90.tif,475,481,658,581
114,91.tif,447,762,745,822
115,92.tif,610,435,894,478
116,93.tif,510,722,785,810
117,94.tif,453,653,682,692
118,95.tif,462,617,789,707
119,96.tif,543,793,600,834
120,97.tif,59,713,432,787
121,98.tif,394,634,505,704
122,99.tif,172,626,570,682
123,99.tif,181,675,460,704
124,100.tif,429,669,551,700
125,101.tif,532,262,842,320
126,102.tif,11,736,366,804
127,103.tif,585,664,792,710
128,104.tif,531,818,677,889
129,105.tif,252,184,545,258
130,105.tif,196,264,507,312
131,106.tif,575,864,897,973
132,107.tif,500,507,717,592
133,108.tif,251,467,428,503
134,108.tif,594,734,909,802
135,109.tif,526,783,908,851
136,110.tif,493,424,780,525
137,112.tif,450,661,579,694
138,113.tif,140,493,297,523
139,115.tif,511,813,777,888
140,116.tif,566,498,966,582
141,117.tif,497,603,740,684
142,118.tif,526,761,730,815
143,119.tif,58,525,480,593
144,120.tif,570,825,891,899
145,121.tif,121,682,455,737
146,121.tif,145,733,437,764
147,122.tif,505,529,682,587
148,123.tif,552,870,895,904
149,125.tif,346,624,509,662
150,126.tif,521,639,697,668
151,127.tif,485,518,709,566
152,128.tif,663,742,925,781
153,129.tif,618,186,912,279
154,130.tif,456,652,803,731
155,131.tif,191,602,490,667
156,132.tif,532,592,846,645
157,133.tif,546,607,765,680
158,134.tif,562,682,778,737
159,135.tif,455,566,693,640
160,136.tif,553,757,847,792
161,137.tif,439,629,646,681
162,138.tif,103,636,312,679
163,139.tif,420,580,659,650
164,140.tif,537,554,770,628
165,141.tif,540,588,783,650
166,142.tif,524,547,922,602
167,143.tif,428,539,681,605
168,144.tif,446,532,740,578
169,145.tif,450,692,763,783
170,146.tif,525,445,847,506
171,147.tif,483,526,765,583
172,148.tif,547,681,769,726
173,149.tif,607,629,778,681
